Timestamp,Value,Type
11:56:55 PM.305,"Cloud Temperature: 27.60\r\n",received
11:56:57 PM.365,"Temperature: 27.60°C\r\n",received
11:56:57 PM.365,"Cloud Temperature: 27.60\r\n",received
11:56:59 PM.411,"Temperature: 27.60°C\r\n",received
11:56:59 PM.411,"Cloud Temperature: 27.60\r\n",received
11:57:01 PM.473,"Temperature: 27.60°C\r\n",received
11:57:01 PM.473,"Cloud Temperature: 27.60\r\n",received
11:57:03 PM.513,"Temperature: 27.60°C\r\n",received
11:57:03 PM.513,"Cloud Temperature: 27.60\r\n",received
11:57:05 PM.565,"Temperature: 27.60°C\r\n",received
11:57:05 PM.565,"Cloud Temperature: 27.60\r\n",received
11:57:07 PM.616,"Temperature: 27.60°C\r\n",received
11:57:07 PM.616,"Cloud Temperature: 27.60\r\n",received
11:57:09 PM.661,"Temperature: 27.60°C\r\n",received
11:57:09 PM.661,"Cloud Temperature: 27.60\r\n",received
11:57:11 PM.708,"Temperature: 27.60°C\r\n",received
11:57:11 PM.708,"Cloud Temperature: 27.60\r\n",received
